countrycode,cty_or_agg,year,PRIM,PRIM_BMP,PRIM_BMP_FE,PRIM_BMP_MA,PRIM_FE,PRIM_MA,PRIM_OOS,PRIM_OOS_FE,PRIM_OOS_MA
MEX,cty,2006,48,46,43,49,44,51,3,3,3
MEX,cty,2013,43,42,40,45,40,46,1,0,2
MKD,cty,2001,37,33,30,36,34,39,5,6,5
MKD,cty,2006,40,34,30,38,37,43,8,9,7
MLI,cty,2012,91,87,0,0,0,0,33,0,0
MLT,cty,2011,23,22,19,25,19,27,2,1,3
MLT,cty,2016,29,27,0,0,0,0,2,0,0
MNA,agg,2015,63,62,57,67,58,68,4,5,4
MNG,cty,2007,39,38,37,39,38,41,2,2,2
MRT,cty,2004,95,93,0,0,0,0,28,0,0
MUS,cty,2006,40,38,0,0,0,0,4,0,0
MYS,cty,2017,13,12,0,0,0,0,1,0,0
NAC,agg,2015,8,4,3,5,7,8,4,4,4
NER,cty,2014,99,98,98,98,99,99,39,44,34
NIC,cty,2006,74,74,73,74,74,75,2,1,3
NIC,cty,2013,70,69,65,73,65,74,2,0,3
NLD,cty,2001,1,1,0,1,1,1,0,1,0
NLD,cty,2006,1,1,0,1,1,1,0,1,0
NLD,cty,2011,1,0,0,1,1,1,0,1,0
NLD,cty,2016,2,1,1,2,1,2,0,1,0
NOR,cty,2001,12,12,9,14,9,15,0,0,0
NOR,cty,2006,9,8,6,11,7,12,1,1,2
NOR,cty,2011,6,5,4,7,4,7,1,0,1
NOR,cty,2016,6,6,4,8,4,8,0,0,0
NZL,cty,2006,10,8,5,11,7,13,2,2,3
NZL,cty,2011,10,8,6,10,8,12,2,2,3
NZL,cty,2016,11,10,8,12,9,14,1,1,2
OMN,cty,2011,54,53,44,61,46,63,4,3,4
OMN,cty,2016,42,41,32,50,33,51,1,1,2
PAK,cty,2014,75,65,0,0,0,0,27,0,0
PAN,cty,2006,70,70,66,73,67,73,1,2,1
PAN,cty,2013,67,64,61,68,64,70,7,7,7
PER,cty,2006,68,68,69,67,69,67,1,0,2
PER,cty,2013,56,54,52,55,54,57,4,4,4
POL,cty,2006,13,7,5,9,12,15,7,7,7
POL,cty,2011,10,5,4,7,9,12,5,5,5
POL,cty,2016,6,2,2,2,6,7,4,4,4
PRT,cty,2011,3,2,1,3,2,4,1,1,1
PRT,cty,2016,6,3,3,3,6,6,4,4,3
PRY,cty,2006,76,74,73,76,74,77,6,6,7
PRY,cty,2013,74,71,69,74,72,76,11,11,11
QAT,cty,2006,69,67,60,74,62,77,7,3,10
QAT,cty,2011,41,40,34,46,35,47,1,1,1
QAT,cty,2016,35,34,27,40,29,42,2,2,2
ROU,cty,2001,19,12,9,14,17,21,8,8,8
ROU,cty,2006,20,16,14,18,18,22,5,5,5
ROU,cty,2011,20,14,12,16,18,22,7,7,7
RUS,cty,2001,11,4,3,5,9,12,7,6,8
RUS,cty,2006,9,2,1,2,8,10,7,6,8
RUS,cty,2011,4,1,1,1,3,5,3,2,3
RUS,cty,2016,3,1,1,1,2,4,2,2,3
SAS,agg,2015,58,56,0,0,0,0,7,0,0
SAU,cty,2011,37,35,22,49,25,51,3,3,3
SAU,cty,2016,38,37,0,0,0,0,3,0,0
SEN,cty,2014,74,65,66,64,74,75,26,23,29
SGP,cty,2001,10,10,7,12,7,12,0,0,0
SGP,cty,2006,3,3,2,5,2,5,0,0,0
SGP,cty,2011,3,3,2,4,2,4,0,0,0
SGP,cty,2016,3,3,2,4,2,4,0,0,0
SLV,cty,2007,55,53,57,50,58,52,4,4,5
SRB,cty,2011,12,9,9,9,11,12,3,3,3
SRB,cty,2015,8,7,6,9,6,10,1,1,1
SSA,agg,2015,87,81,79,83,83,86,24,27,23
SSF,agg,2015,87,81,79,83,83,86,24,27,23
SVK,cty,2001,6,6,5,7,5,7,0,0,0
SVK,cty,2006,6,6,5,6,5,6,0,0,0
SVK,cty,2011,4,4,4,5,4,5,0,0,0
SVK,cty,2016,9,7,6,7,8,9,2,3,2
SVN,cty,2006,7,6,4,7,6,9,2,2,2
SVN,cty,2011,6,5,3,6,5,8,2,2,2
SVN,cty,2016,6,4,3,5,4,7,2,2,3
SWE,cty,2001,2,2,1,2,1,2,0,0,0
SWE,cty,2006,7,2,1,2,6,7,5,5,5
SWE,cty,2011,3,2,2,3,3,3,1,1,0
SWE,cty,2016,2,2,1,3,2,3,0,1,0
TCD,cty,2014,98,97,98,97,98,97,21,31,11
TGO,cty,2014,86,84,83,85,85,86,9,12,5
THA,cty,2011,23,22,19,25,21,26,2,2,2
TTO,cty,2006,40,36,30,41,34,45,6,6,6
TTO,cty,2011,23,22,16,28,18,28,1,2,1
TTO,cty,2016,21,20,15,24,17,25,1,2,1
TUN,cty,2003,73,73,73,74,73,74,0,0,0
TUN,cty,2007,69,68,64,71,65,72,2,3,2
TUN,cty,2011,65,65,61,69,61,69,0,0,0
TUR,cty,2011,28,24,23,25,27,28,5,5,4
TUR,cty,2015,22,18,17,18,21,22,5,5,5
UGA,cty,2014,83,81,0,0,0,0,9,0,0
UKR,cty,2007,28,18,16,20,26,29,12,12,12
UMC,agg,2015,29,28,37,42,38,44,2,2,2
URY,cty,2006,41,41,37,45,37,45,0,0,0
URY,cty,2013,42,41,37,46,37,46,1,1,0
USA,cty,2001,9,6,0,0,0,0,4,0,0
USA,cty,2006,7,4,0,0,0,0,3,0,0
USA,cty,2011,9,2,2,3,8,10,7,6,7
USA,cty,2016,8,4,3,5,7,8,4,4,4
VNM,cty,2011,2,1,0,0,0,0,1,0,0
WBC,agg,2015,53,50,49,54,49,55,9,8,8
WLD,agg,2015,48,45,38,43,38,43,8,8,7
YEM,cty,2003,86,80,80,80,89,84,29,42,17
YEM,cty,2007,94,92,91,93,94,94,24,31,17
YEM,cty,2011,95,94,93,94,95,95,19,27,11
ZAF,cty,2016,80,78,72,84,74,85,8,8,9
